code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name
5363.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
53745.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
5602.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
569.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
57495.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
6155.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
8837.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
91627.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
94482.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
9985.0,Diagnosis of Ischaemic stroke,Med codes,C838,2815,Ischaemic stroke - Primary care,PH56,112,Ischaemic stroke
I63.0,Cerebral infarction due to thrombosis of precerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I63.1,Cerebral infarction due to embolism of precerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I63.3,Cerebral infarction due to thrombosis of cerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I63.4,Cerebral infarction due to embolism of cerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I63.8,Other cerebral infarction,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I63.9,"Cerebral infarction, unspecified",ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
I69.3,Sequelae of cerebral infarction,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke
